Number of active threads;Average HTTP Request;HTTP Request
1;;7.344827586206897
2;;12.73469387755102
3;;4.686274509803922
4;;4.36144578313253
5;;3.6074766355140193
6;;3.0784313725490198
7;;2.8205128205128207
8;;29.125
9;;4.977777777777778
10;;6.372093023255814
11;;8.376058201058202
12;;4.445164635727248
13;;3.631108051839759
14;;4.103260869565218
15;;3.4444444444444446
16;;6.395127526602248
17;;5.692539806247399
18;;6.678073770491806
19;;7.12041884816754
20;;6.59090909090909
21;;9.778523489932885
22;;6.688235294117647
23;;5.744075829383888
24;;7.021420463958771
25;;6.255215018778546
26;;5.979467001903384
27;;6.888578779687676
28;;5.719388924991512
29;;6.397381219603442
30;;7.911290322580645
31;;9.678160919540229
32;;5.181502820363023
33;;6.916299559471366
34;;6.8681216497100985
35;;7.135135135135135
36;;5.937612451806367
37;;7.273006535947715
38;;9.051328665050729
39;;6.639045656309447
40;;6.257980957709221
41;;7.638191803971273
42;;7.731800766283523
43;;17.83132104197648
44;;6.5217737766219726
45;;8.127693365649101
46;;7.313479623824452
47;;8.47524752475247
48;;7.893579209971201
49;;7.776966629635664
50;;8.371273712737127
51;;11.135600255427835
52;;8.551939694796829
53;;8.321202494460133
54;;8.23746533616725
55;;9.00215058009639
56;;9.299999999999997
57;;7.044703239825191
58;;17.90415291529153
59;;9.891058157366997
60;;7.827282791562984
61;;12.389590964590962
62;;9.595562927717733
63;;10.247200733935708
64;;10.020979319179173
65;;9.983045532934677
66;;10.165384615384616
67;;10.332381915170464
68;;12.444150402840734
69;;11.080720332733549
70;;9.723059034934735
71;;13.194019330275772
72;;17.55882352941176
73;;15.08922416739602
74;;11.113004840355579
75;;9.961529299651051
76;;11.295995581331134
77;;11.044505846173058
78;;11.337237435976409
79;;11.634097550017838
80;;10.592341039431876
81;;12.178674351585014
82;;13.136495014720444
83;;11.119927471713487
84;;9.886393391827173
85;;11.023895725991284
86;;11.307124681006032
87;;11.970549014216825
88;;14.918803418803417
89;;21.531831963171577
90;;13.38560263930645
91;;17.50161878494354
92;;12.276119052097044
93;;10.839732851348955
94;;13.222125800466817
95;;13.107956388095861
96;;12.00068592128887
97;;14.329479449634496
98;;14.471908315474272
99;;13.892356118162553
100;;14.021228005701497
101;;15.056690016635402
102;;13.889330623306233
103;;13.501141838922582
104;;14.98777540186077
105;;12.460549083168976
106;;31.643122438524596
107;;19.95600371029914
108;;17.828730906919468
109;;12.433350840336137
110;;13.515690376569042
111;;16.458031508210716
112;;14.853785900783285
113;;14.052747252747267
114;;14.69326683291771
115;;13.039423243885823
116;;12.421275050014733
117;;14.822241784037566
118;;16.349673202614362
119;;14.254096967224271
120;;15.05128205128204
121;;20.430278686641817
122;;14.595219332807984
123;;15.621890547263682
124;;14.17412935323383
125;;40.93745518285395
126;;12.879606879606879
127;;17.653724558516124
128;;17.802469135802465
129;;19.068852459016384
130;;16.73232323232323
131;;20.20559009511665
132;;13.255230125523013
133;;17.767439540266583
134;;15.424568965517237
135;;16.822294293196904
136;;15.858259721799168
137;;16.168532053091436
138;;17.92947246178169
139;;16.59809547690011
140;;17.62300857087234
141;;18.26075949367088
142;;17.9328713848721
143;;14.068251425788642
144;;19.03028308097432
145;;23.093404212080145
146;;21.711484593837554
147;;17.512740384615395
148;;20.568690095846634
149;;18.52438808480504
150;;14.93253842278142
151;;21.402559867877777
152;;17.868852459016388
153;;18.94374558936998
154;;19.13950029744198
155;;15.891746560594715
156;;17.521680417634165
157;;23.035510281797407
158;;21.606590010281128
159;;18.13595352374959
160;;22.015985341383562
161;;22.949423634615236
162;;18.82560706401766
163;;18.15677092365073
164;;17.179775280898863
165;;38.729746647777816
166;;21.8162810059877
167;;16.333976117430737
168;;19.804618608881356
169;;21.498188387136594
170;;17.9361730561963
171;;21.53243253557215
172;;20.738136979897146
173;;17.237721021611
174;;18.90292211066135
175;;19.661339112351058
176;;18.19391365888182
177;;22.278876499053236
178;;23.589476563568525
179;;22.842995169082133
180;;22.799623436145183
181;;20.26167023554603
182;;21.702127430521074
183;;21.602978018976415
184;;33.45
185;;26.941309488259837
186;;22.30079303123442
187;;20.89944010429684
188;;23.42624508948299
189;;25.497206703910624
190;;18.641825784622167
191;;30.449005293109487
192;;21.059424799303983
193;;19.122278908701745
194;;19.04416217700631
195;;20.848057473500386
196;;20.900858404090787
197;;20.40372670807452
198;;22.798082316823795
199;;25.483440619460765
200;;26.274336014924632
201;;23.809345020127918
202;;22.293988848089228
203;;23.95302013422818
204;;23.51958525345622
205;;29.520594285714292
206;;25.89903846153846
207;;30.134986225895318
208;;23.262755102040817
209;;26.20026613982954
210;;31.202901076057724
211;;27.043336360318317
212;;26.37779485129269
213;;34.01229874776388
214;;36.59370797889855
215;;32.536117091890794
216;;21.48756288592405
217;;24.96226415094338
218;;29.032719836400826
219;;29.23071424789538
220;;22.080378250590996
221;;24.57546201232034
222;;22.94799188421898
223;;24.094943257459388
224;;21.930376035691523
225;;21.59653603421308
226;;21.42168782047706
227;;27.95239747807031
228;;23.346793648908466
229;;26.40009896309799
230;;23.28907922912205
231;;28.272311212814646
232;;22.677496224558155
233;;26.111521455654113
234;;23.20296700212502
235;;27.778846153846153
236;;25.359404090612045
237;;21.864515436247014
238;;23.246770002367327
239;;28.01636332417585
240;;25.668934240362802
241;;28.04251601630751
242;;47.66571767088565
243;;29.801487857556538
244;;22.99130138372693
245;;23.259258533526662
246;;26.127167630057805
247;;25.652656302473932
248;;23.65719696969696
249;;25.982986858666102
250;;25.864919354838708
251;;24.992238225733185
252;;27.595833333333335
253;;22.718550466231353
254;;24.406798749522082
255;;26.88525420915136
256;;26.493568697579768
257;;23.250896057347674
258;;27.648068669527902
259;;26.990367917440853
260;;24.679999999999996
261;;26.621315192743765
262;;27.848359756387378
263;;25.974664268883185
264;;27.915492957746473
265;;25.47404620553924
266;;25.282641202218993
267;;24.265737078084253
268;;29.761690263461013
269;;25.305181201705192
270;;40.283216783216794
271;;67.21818181818179
272;;37.15003549775074
273;;27.24824134893879
274;;28.173771587787563
275;;26.048503779785715
276;;25.8953488372093
277;;27.88074829931973
278;;24.97033158813263
279;;34.40673215487501
280;;29.804545454545455
281;;27.5985401459854
282;;28.288965898680985
283;;29.070880077912832
284;;24.48158613616268
285;;27.334797661523343
286;;23.675471698113206
287;;28.425527284691874
288;;27.40924092409241
289;;40.793313069908834
290;;26.886486486486493
291;;25.398431525877687
292;;31.047528517110276
293;;27.02141746051624
294;;25.954637637936173
295;;30.07694960818283
296;;26.638401298585375
297;;28.233146862511575
298;;29.176
299;;32.08519269776876
300;;29.054983577422316
301;;42.195000000000014
302;;38.57994579945799
303;;41.71260592562648
304;;32.349555206698064
305;;33.38955871714494
306;;27.827205882352946
307;;31.778012684989424
308;;31.30508474576271
309;;35.66889582202925
310;;30.209222652369036
311;;33.97938428963056
312;;27.5609940718375
313;;31.31890710382514
314;;30.594914457162485
315;;30.531939848689643
316;;30.512393842077635
317;;30.454761219792886
318;;29.935907495354122
319;;32.50561797752811
320;;35.89117790132031
321;;31.0431706726656
322;;40.76720077454753
323;;38.77456298975285
324;;31.534789758045573
325;;28.47381801418248
326;;32.93074548174909
327;;29.572273108237553
328;;31.079646173338194
329;;33.542372881355924
330;;41.74901480455853
331;;36.05010569681486
332;;32.321859067440236
333;;39.395347035236234
334;;46.0729425739634
335;;31.15850815850816
336;;34.72564193797074
337;;35.377509732534186
338;;36.3416988416989
339;;38.743181818181824
340;;32.923076923076906
341;;33.590497737556554
342;;36.35559566787004
343;;33.91054229403408
344;;34.83633002480483
345;;37.680857692320615
346;;34.61616222980939
347;;31.209334315521488
348;;29.01633986928104
349;;33.02853013650671
350;;39.46751173692714
351;;39.84433962264148
352;;32.75192307692305
353;;34.83721941938806
354;;32.73610353397584
355;;38.989076576576565
356;;35.11040339702758
357;;33.00467663787653
358;;36.848607705779315
359;;36.83250000000006
360;;37.956929552417016
361;;44.5221124897363
362;;42.29577347577783
363;;40.53431155407901
364;;68.77088305489266
365;;44.939209726443764
366;;36.674663849152815
367;;35.18948806898497
368;;34.516411378555794
369;;37.48712122522028
370;;35.44664179829745
371;;36.61224489795916
372;;36.47476119802358
373;;30.708240101177154
374;;39.093750000000014
375;;50.82580610149402
376;;29.710192596080066
377;;36.07658415456344
378;;41.320305727438516
379;;34.384811653367976
380;;33.40244288883123
381;;41.501454532317524
382;;49.57478632478636
383;;32.43881215634009
384;;38.221995926680286
385;;39.62672857071538
386;;36.63030532584222
387;;34.4961521684945
388;;33.07740737010071
389;;45.216129032258024
390;;48.96509240246406
391;;32.75822368421054
392;;43.73230088495577
393;;39.39962476547842
394;;38.51918735891649
395;;37.10288206117406
396;;35.86217777075958
397;;39.23134905976467
398;;45.542409356725145
399;;68.43674420107251
400;;60.836930589466334
401;;48.0961145194274
402;;34.992374588527355
403;;39.788155455418895
404;;40.01720430107528
405;;43.11124726997155
406;;43.10590895956252
407;;48.07243652581083
408;;44.53601048074733
409;;68.23432991414168
410;;53.00419441944196
411;;47.23729807193078
412;;51.10978520286395
413;;41.64378478664195
414;;45.979169387488604
415;;50.5136476426799
416;;55.330601092896174
417;;48.74574875356124
418;;54.0417877951928
419;;48.62122517906699
420;;52.87648141703336
421;;55.551236749116605
422;;58.571580788157284
423;;54.44326522773802
424;;46.096858638743434
425;;55.884337349397605
426;;54.657414367680175
427;;41.87689934252358
428;;48.84329789677021
429;;52.299180327868854
430;;71.38381201044376
431;;57.49896864441269
432;;59.28508725015459
433;;42.551350537969746
434;;45.12270526284643
435;;52.32844283376199
436;;65.0958904109589
437;;93.98214285714289
438;;74.95247148288976
439;;46.87082405345213
440;;52.39310344827586
441;;44.48474750401726
442;;53.348108065482045
443;;46.51843817787415
444;;45.73531746031745
445;;46.39056603773584
446;;49.42471995443326
447;;45.99010222849521
448;;54.57414971802488
449;;47.07494646680941
450;;48.17952986055336
451;;51.99782135076253
452;;46.35418435801633
453;;39.74494408369674
454;;42.886933165026996
455;;44.11605415860734
456;;40.42098271047937
457;;44.78348623853212
458;;42.896464646464615
459;;37.009966777408614
460;;41.96147978642257
461;;49.67082358026848
462;;46.38321742439121
463;;41.38177732942496
464;;46.65206446274755
465;;46.83213429256595
466;;43.745983555302765
467;;42.92153239483949
468;;45.03996971636426
469;;48.33419533932353
470;;48.916516231108375
471;;40.809708737864085
472;;45.65706208300351
473;;60.859569942676316
474;;82.0427031889947
475;;68.27976807560115
476;;48.5216572504708
477;;44.81928163974967
478;;38.042915874524084
479;;57.07125890736342
480;;51.887252619583535
481;;47.65455396265061
482;;53.784569053093904
483;;55.734116098724115
484;;33.69749671440521
485;;37.15810810810816
486;;35.22847196650623
487;;35.930196949847456
488;;33.37866318183188
489;;36.30721671627137
490;;35.60006674678361
491;;39.92156862745098
492;;37.252510536161914
493;;42.81556580933435
494;;45.45379763298222
495;;52.64150943396229
496;;43.48172115569395
497;;45.44027303754267
498;;39.67052212161746
499;;42.436441102756895
500;;59.11641791044774
501;;63.032786885245955
502;;57.96078431372549
503;;57.110649292766496
504;;60.34162303664923
505;;51.68716079061707
506;;52.79144028849209
507;;58.76411234009272
508;;55.1881390593047
509;;47.6287565605302
510;;57.14125329361898
511;;59.55745721271392
512;;63.423480083857456
513;;56.578358745684696
514;;60.078804347826086
515;;65.9551368938656
516;;54.826425031702655
517;;53.484320557491294
518;;81.91644908616185
519;;60.0704305537352
520;;56.35058869050909
521;;58.79573027335105
522;;58.13477995110023
523;;56.521023765996354
524;;52.32689172406007
525;;48.42929326581379
526;;61.42421124828528
527;;59.32078393369045
528;;54.83527092443979
529;;51.35497835497836
530;;89.51398902821317
531;;66.8136897812559
532;;56.88727854090088
533;;58.88594704684323
534;;70.16768680221132
535;;60.40849634162407
536;;54.70322580645163
537;;54.989977267759
538;;48.63188976377951
539;;57.10529071787239
540;;61.69565217391305
541;;73.28413251072966
542;;67.53067494304044
543;;69.08006322067467
544;;47.779069767441825
545;;60.51709401709402
546;;59.440816326530616
547;;54.46942800788954
548;;49.598662207357876
549;;46.461344791195536
550;;55.152898286547575
551;;51.43551797040169
552;;59.04
553;;54.06009472576712
554;;44.188875409540486
555;;58.300335570469784
556;;50.89692602850382
557;;53.84711748694837
558;;59.04484607844901
559;;63.2699084348277
560;;52.496036783577985
561;;52.920145190562614
562;;52.3640081799591
563;;52.332703213610586
564;;51.301886792452834
565;;87.87753132593977
566;;57.57883723494429
567;;47.196642685851316
568;;58.56891397126457
569;;48.14016340817742
570;;62.32246413802551
571;;54.132402830707704
572;;54.16314464647674
573;;61.5893419859808
574;;56.14902974643054
575;;50.902868415597204
576;;50.076971464911814
577;;60.619127516778526
578;;50.31098650709297
579;;44.26140740514203
580;;54.885416666666686
581;;60.45498795539055
582;;55.30840400007433
583;;70.21966731898242
584;;49.48976112734149
585;;48.40565370670331
586;;65.0677655677655
587;;58.67015180711601
588;;44.49048316251827
589;;61.45045776157806
590;;61.48481610912488
591;;52.41188933836369
592;;62.17090069284065
593;;58.87514341806685
594;;51.87069091429323
595;;49.96232955812375
596;;54.415603471109485
597;;54.46677056436025
598;;59.951732278446386
599;;66.81076536569849
600;;70.26583904109593
601;;98.72756091093616
602;;63.85142649903288
603;;63.63405088062627
604;;60.364553757740126
605;;52.11811023622049
606;;58.58876130380204
607;;63.633136812901
608;;58.213092258817426
609;;63.83716475095788
610;;54.55156803782497
611;;57.08496732026144
612;;62.426578216599815
613;;64.04500180180176
614;;59.52979415921006
615;;55.51335843575069
616;;51.70768934074522
617;;55.14820536866845
618;;52.90637779010977
619;;57.86796116504854
620;;62.315689981096405
621;;72.05520058428132
622;;70.03120623793308
623;;63.83768311965904
624;;69.31138333628215
625;;56.70187529482423
626;;50.562600851388
627;;62.008389750529126
628;;59.397140620519174
629;;58.410284504274806
630;;57.97381561644809
631;;56.62488036642056
632;;63.17841916942707
633;;55.24934864964175
634;;57.916044776119406
635;;73.98580828743391
636;;68.97718631178711
637;;59.0746823050639
638;;88.25490196078432
639;;88.49430523917991
640;;68.87191414454472
641;;63.6299153004552
642;;60.39093802136555
643;;66.5576011378004
644;;63.66638835537609
645;;73.67394692136853
646;;59.071538422582336
647;;54.99074074074074
648;;48.78871625817968
649;;65.31142402552632
650;;56.301464350616584
651;;61.2537814857599
652;;60.66872494760615
653;;59.403718626710315
654;;60.895346121099486
655;;65.13106966337163
656;;53.20827943010723
657;;50.55770759058978
658;;68.80314605007983
659;;68.44197293681502
660;;68.9926469863487
661;;61.186352152502465
662;;64.39247311827957
663;;73.68325439994535
664;;65.39400824145228
665;;67.42554527886652
666;;74.67958405296496
667;;71.51175457127474
668;;52.007221440237636
669;;67.78364877196411
670;;64.01512585371229
671;;62.95500110889333
672;;58.9140137296721
673;;84.06862745098037
674;;94.49419977645722
675;;78.80111524163571
676;;62.13581978094921
677;;67.39973420321378
678;;77.18818323600881
679;;73.28430396201327
680;;70.69438202247191
681;;68.1597744360903
682;;68.99268292682922
683;;66.99618239215286
684;;65.66695011337863
685;;77.16729275351051
686;;72.18440192938307
687;;59.98494983277592
688;;60.78259771110924
689;;70.43791931431954
690;;65.2863247863249
691;;65.86867083584646
692;;72.36170212765961
693;;80.53965751783461
694;;47.59428759844332
695;;70.28279411109719
696;;57.581510436432644
697;;75.08358878704712
698;;68.85714285714279
699;;74.08704453441295
700;;69.15847744633287
701;;67.08379888268156
702;;69.36125546367158
703;;66.22244094488187
704;;72.86085580065355
705;;72.02235772357731
706;;63.921951143020664
707;;58.693776514329585
708;;61.50598290598288
709;;82.54777070063692
710;;96.79469026548671
711;;73.9391647256878
712;;75.6614481409003
713;;67.18693284936474
